,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
10,N/A,N/A,adp,N/A,N/A,N/A,N/A,N/A,47.43,27.10,3.47,9.29,13.38,18.23,3.07,29.41,24.23,39090000000.0,39090000000.0,23.65,2.53,3.48,16.77,3.48,4510000000.0,16.77,1430000000.0,3.22,3.00,5.80,2820000000.0,6.17,1990000000.0,1.10,9.17,1790000000.0,0.84,0.14,78.10,4870000.0,2.21,1.05,3390000.0,N/A
11,N/A,N/A,adsk,N/A,N/A,N/A,N/A,N/A,91.60,N/A,5.01,7.73,13.02,0.05,0.02,16.97,11.08,11940000000.0,11940000000.0,808.71,4.58,4.77,81.17,4.77,2170000000.0,81.17,326000000.0,1.44,N/A,2.50,2250000000.0,10.03,1490000000.0,1.88,7.24,414000000.0,2.07,0.21,95.10,9330000.0,3.23,4.08,9340000.0,N/A
12,N/A,N/A,adt,N/A,N/A,N/A,N/A,N/A,185.92,24.32,1.89,2.34,8.03,19.01,3.99,9.61,21.26,12170000000.0,12170000000.0,18.99,2.79,3.39,6.69,3.39,2000000000.0,6.69,288000000.0,1.70,11.10,1.50,75000000.0,0.45,5400000000.0,0.60,17.58,1610000000.0,1.26,0.22,122.20,33870000.0,15.66,24.73,36930000.0,N/A
13,N/A,N/A,aee,N/A,N/A,N/A,N/A,N/A,106.89,18.62,1.91,1.67,10.33,21.78,3.58,8.39,25.14,19180000000.0,19180000000.0,17.16,3.40,3.15,8.71,3.15,2600000000.0,8.71,579000000.0,2.59,39.60,1.00,292000000.0,1.20,7580000000.0,0.92,28.63,2020000000.0,0.31,0.25,66.40,4630000.0,2.16,1.91,3590000.0,N/A
14,N/A,N/A,aeo,N/A,N/A,N/A,N/A,N/A,N/A,16.43,0.91,2.63,5.68,9.26,11.03,17.31,17.87,2870000000.0,2870000000.0,12.57,1.51,0.82,6.19,0.82,1150000000.0,6.19,201650000.0,1.01,720.30,7.60,363120000.0,1.87,0.00,1.82,6.22,360640000.0,1.03,10.09,95.50,49390000.0,6.26,26.68,46230000.0,N/A
15,N/A,N/A,aep,N/A,N/A,N/A,N/A,N/A,115.70,15.41,1.91,1.76,12.44,20.26,3.44,10.19,33.56,52030000000.0,52030000000.0,16.68,4.10,3.16,10.09,3.16,9020000000.0,10.09,1760000000.0,4.17,N/A,N/A,292200000.0,0.60,20720000000.0,0.57,36.44,4820000000.0,0.22,0.01,68.40,6730000.0,1.89,1.37,6770000.0,N/A
16,N/A,N/A,aet,N/A,N/A,N/A,N/A,N/A,48.39,16.74,0.64,2.40,3.97,7.91,5.57,15.59,172.42,42080000000.0,42080000000.0,12.95,1.57,0.70,7.74,0.70,16500000000.0,7.74,2390000000.0,6.78,38.30,1.90,5410000000.0,15.48,7830000000.0,0.82,46.11,3870000000.0,0.52,0.35,90.40,15230000.0,3.81,4.70,15250000.0,N/A
17,N/A,N/A,afl,N/A,N/A,N/A,N/A,N/A,33.61,10.64,1.21,1.45,12.13,21.06,2.31,14.05,48.51,27760000000.0,27760000000.0,9.23,1.59,1.33,6.24,1.33,7820000000.0,6.24,2530000000.0,5.85,3.80,2.00,4350000000.0,10.36,5950000000.0,0.45,41.73,6780000000.0,1.15,2.41,67.40,6290000.0,2.64,1.49,6930000.0,N/A
18,N/A,N/A,agn,N/A,N/A,N/A,N/A,N/A,55.79,29.86,7.58,1.59,25.98,2.33,0.23,5.47,40.98,159620000000.0,159620000000.0,17.11,1.92,10.59,26.90,10.59,10260000000.0,26.90,3100000000.0,10.01,N/A,73.80,1110000000.0,2.80,42730000000.0,1.03,181.65,4530000000.0,1.39,0.23,88.40,4840000.0,1.82,1.24,4820000.0,N/A
19,N/A,N/A,aig,N/A,N/A,N/A,N/A,N/A,32.53,32.05,1.02,0.69,3.77,9.00,0.65,2.25,44.81,78380000000.0,78380000000.0,8.99,0.67,1.35,7.94,1.35,21750000000.0,7.94,2200000000.0,1.65,N/A,5.80,11760000000.0,10.23,29350000000.0,2.05,75.10,2880000000.0,1.30,0.03,87.70,16750000.0,1.71,1.24,17580000.0,N/A
20,N/A,N/A,aiv,N/A,N/A,N/A,N/A,N/A,209.15,25.84,6.26,4.09,25.99,26.77,2.62,16.09,6.17,10660000000.0,10660000000.0,15.90,2.18,11.14,19.08,11.14,616060000.0,19.08,235970000.0,1.52,77.50,3.00,50790000.0,0.33,3870000000.0,0.37,9.40,N/A,0.27,0.91,102.90,3280000.0,2.35,2.86,2690000.0,N/A
21,N/A,N/A,aiz,N/A,N/A,N/A,N/A,N/A,25.89,37.85,0.48,1.12,1.37,2.48,0.52,2.92,151.48,4400000000.0,4400000000.0,10.91,1.81,0.43,11.19,0.43,1660000000.0,11.19,141550000.0,2.05,32.10,2.90,1800000000.0,27.75,1170000000.0,0.82,68.70,254570000.0,0.62,1.26,97.80,1520000.0,2.45,2.23,1300000.0,N/A
22,N/A,N/A,akam,N/A,N/A,N/A,N/A,N/A,20.00,31.50,4.40,3.10,14.63,21.25,7.13,10.60,12.32,9800000000.0,9800000000.0,18.09,1.46,4.46,13.02,4.46,1470000000.0,13.02,321410000.0,1.78,8.90,8.00,749560000.0,4.24,624290000.0,3.77,17.63,764150000.0,1.25,2.80,89.10,5660000.0,1.87,3.26,5820000.0,N/A
23,N/A,N/A,all,N/A,N/A,N/A,N/A,N/A,25.59,12.97,0.68,1.34,6.09,10.13,2.12,10.26,88.89,27290000000.0,27290000000.0,10.47,1.57,0.77,6.86,0.77,12060000000.0,6.86,2060000000.0,5.05,40.70,0.80,2620000000.0,6.92,5120000000.0,0.74,47.98,3620000000.0,1.08,0.27,77.60,2710000.0,0.86,0.67,3040000.0,N/A
24,N/A,N/A,alxn,N/A,N/A,N/A,N/A,N/A,43.68,207.87,11.83,3.74,5.55,27.34,5.13,2.50,12.20,33600000000.0,33600000000.0,20.51,1.30,12.90,38.97,12.90,2370000000.0,38.97,144380000.0,0.67,56.60,16.90,1390000000.0,6.15,3610000000.0,3.38,36.60,675200000.0,1.62,0.36,98.30,5470000.0,3.01,4.14,5650000.0,N/A
25,N/A,N/A,amat,N/A,N/A,N/A,N/A,N/A,46.64,18.36,2.32,3.09,13.76,16.79,7.60,17.26,8.00,22890000000.0,22890000000.0,12.37,0.99,2.40,11.56,2.40,3950000000.0,11.56,1320000000.0,1.09,17.80,4.30,3120000000.0,2.76,3340000000.0,3.00,6.34,1310000000.0,1.73,0.21,87.10,18410000.0,1.04,1.62,17170000.0,N/A
26,N/A,N/A,amd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.45,N/A,16.54,8.82,6.40,N/A,5.10,3480000000.0,3480000000.0,N/A,0.03,0.87,18.49,0.87,1080000000.0,18.49,660000000.0,0.84,N/A,22.70,785000000.0,0.99,2260000000.0,1.65,0.52,226000000.0,1.91,18.57,43.30,129600000.0,7.28,20.47,134360000.0,N/A
27,N/A,N/A,amgn,N/A,N/A,N/A,N/A,N/A,112.37,15.96,4.90,3.79,32.03,40.14,7.73,25.77,28.58,108900000000.0,108900000000.0,11.96,1.62,5.03,10.18,5.03,17440000000.0,10.18,6940000000.0,9.06,39.10,3.80,31380000000.0,41.73,31560000000.0,4.44,37.24,9080000000.0,1.35,0.13,81.70,10410000.0,2.41,1.57,9030000.0,N/A
28,N/A,N/A,amp,N/A,N/A,N/A,N/A,N/A,135.81,10.92,1.23,2.10,12.80,26.45,1.37,19.05,67.14,22260000000.0,22260000000.0,8.24,0.72,1.83,6.41,1.83,9940000000.0,6.41,1560000000.0,8.48,16.00,0.50,4800000000.0,28.40,11420000000.0,2.40,42.20,2570000000.0,1.62,0.25,89.20,2390000.0,1.51,1.32,2230000.0,N/A
29,N/A,N/A,amt,N/A,N/A,N/A,N/A,N/A,255.02,69.83,8.41,6.03,14.36,33.80,4.18,12.48,11.39,58520000000.0,58520000000.0,15.41,1.32,12.26,20.19,12.26,3460000000.0,20.19,594910000.0,1.41,29.00,22.30,320690000.0,0.76,17120000000.000002,0.83,15.70,2180000000.0,0.88,0.11,97.00,6080000.0,2.36,1.45,6410000.0,N/A
30,N/A,N/A,amzn,N/A,N/A,N/A,N/A,N/A,131.10,455.69,2.46,19.67,0.56,2.09,2.33,4.94,229.14,265940000000.0,265940000000.0,66.47,3.03,2.49,33.75,2.49,35360000000.0,33.75,596000000.0,1.25,125.20,21.90,19810000000.0,42.07,17550000000.0,1.08,28.42,11920000000.0,1.65,17.82,67.50,5900000.0,0.91,1.55,4890000.0,N/A
31,N/A,N/A,an,N/A,N/A,N/A,N/A,N/A,259.38,13.14,0.26,2.36,2.12,4.17,6.06,20.07,185.11,11500000000.0,11500000000.0,10.81,1.02,0.55,11.52,0.55,3260000000.0,11.52,443700000.0,3.89,16.50,5.80,74100000.0,0.69,6090000000.0,0.91,21.20,507200000.0,1.30,27.31,69.30,4780000.0,2.58,6.58,4500000.0,N/A
32,N/A,N/A,anf,N/A,N/A,N/A,N/A,N/A,26.64,101.76,0.61,1.71,0.63,3.72,3.22,1.80,50.82,2109999999.9999998,2109999999.9999998,23.02,1.58,0.60,6.17,0.60,2310000000.0,6.17,22220000.0,0.32,129.80,3.60,405610000.0,6.04,337970000.0,1.88,18.84,349560000.0,0.69,1.71,126.10,21080000.0,8.10,34.71,24640000.0,N/A
33,N/A,N/A,aon,N/A,N/A,N/A,N/A,N/A,93.09,20.59,2.28,4.35,11.88,17.18,4.40,22.23,41.53,32240000000.000004,32240000000.000004,13.80,1.71,2.77,12.66,2.77,11680000000.0,12.66,1380000000.0,4.88,27.20,0.30,635000000.0,2.35,5740000000.0,1.07,22.63,2009999999.9999998,1.14,1.04,90.00,4090000.0,3.26,1.47,4010000.0,N/A
34,N/A,N/A,apc,N/A,N/A,N/A,N/A,N/A,111.88,N/A,2.28,1.68,70.55,81.83,9.04,36.07,18.67,39930000000.0,39930000000.0,N/A,0.29,4.21,12.77,4.21,5510000000.0,12.77,6700000000.0,13.18,N/A,40.60,941000000.0,1.85,17290000000.0,0.95,25.23,1880000000.0,1.14,0.21,86.50,15940000.0,1.44,3.10,17370000.0,N/A
35,N/A,N/A,apd,N/A,N/A,N/A,N/A,N/A,77.58,22.56,3.00,3.94,13.59,20.35,7.06,17.68,45.01,34950000000.0,34950000000.0,16.83,1.61,3.61,12.03,3.61,2950000000.0,12.03,1320000000.0,6.05,12.00,8.00,298100000.0,1.38,5820000000.0,0.78,34.16,2520000000.0,1.29,0.15,88.70,3510000.0,1.97,1.63,3390000.0,N/A
36,N/A,N/A,aph,N/A,N/A,N/A,N/A,N/A,85.82,23.31,3.06,5.26,13.71,19.94,9.61,24.85,18.02,18360000000.0,18360000000.0,19.64,2.80,3.30,14.32,3.30,1780000000.0,14.32,763500000.0,2.41,3.50,0.30,1760000000.0,5.72,2810000000.0,3.82,10.52,1030000000.0,0.80,0.36,101.40,5870000.0,2.57,2.25,3980000.0,N/A
37,N/A,N/A,apol,N/A,N/A,N/A,N/A,N/A,3.95,N/A,0.37,0.82,2.66,7.00,4.77,3.93,22.56,276050000.0,276050000.0,17.46,0.52,0.11,0.94,0.11,1360000000.0,0.94,40630000.0,0.60,N/A,18.00,676780000.0,6.24,43270000.0,1.58,10.01,131419999.99999999,0.81,12.33,90.50,3890000.0,1.64,3.92,4000000.0,N/A
38,N/A,N/A,arg,N/A,N/A,N/A,N/A,N/A,140.82,30.51,1.92,5.17,6.54,11.63,6.36,17.13,71.81,12990000000.0,12990000000.0,27.07,3.66,2.44,13.45,2.44,2950000000.0,13.45,347860000.0,4.64,20.70,2.70,46880000.0,0.65,2780000000.0,1.12,27.33,715880000.0,0.78,10.17,81.50,1420000.0,1.32,2.20,1880000.0,N/A
39,N/A,N/A,arna,N/A,N/A,N/A,N/A,N/A,127.46,N/A,9.25,6.64,281.74,258.90,23.26,214.06,0.16,276370000.0,276370000.0,N/A,0.19,7.21,3.10,7.21,25150000.0,3.10,107980000.0,0.45,N/A,15.70,156180000.0,0.64,68250000.0,3.50,0.22,98110000.0,0.97,0.59,58.60,21350000.0,9.23,10.08,21290000.0,N/A
40,N/A,N/A,aro,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.02,N/A,8.04,6.35,12.55,292.59,20.18,136990000.0,136990000.0,N/A,0.03,0.09,2.22,0.09,336440000.0,2.22,128820000.0,1.62,N/A,19.80,41830000.0,0.52,142820000.0,1.29,0.20,48390000.0,3.79,14.36,61.70,12620000.0,13.07,23.34,12380000.0,N/A
41,N/A,N/A,ati,N/A,N/A,N/A,N/A,N/A,68.10,N/A,0.48,0.86,10.16,4.12,1.55,14.88,34.67,3100000000.0,3100000000.0,17.10,1.82,0.83,84.26,0.83,60300000.0,84.26,377900000.0,3.53,N/A,29.50,149800000.0,1.37,1500000000.0,2.72,19.07,131400000.0,1.99,1.14,79.20,15590000.0,4.67,14.44,14010000.0,N/A
42,N/A,N/A,atvi,N/A,N/A,N/A,N/A,N/A,50.56,26.49,4.91,2.84,19.13,28.39,5.52,11.66,6.41,25350000000.0,25350000000.0,15.15,1.35,5.44,17.87,5.44,3080000000.0,17.87,881000000.0,1.19,56.00,14.10,1830000000.0,2.50,4080000000.0,2.66,11.01,1190000000.0,1.22,30.35,69.50,14780000.0,1.33,2.71,54230000.0,N/A
43,N/A,N/A,avb,N/A,N/A,N/A,N/A,N/A,65.55,33.25,13.08,2.50,39.49,37.77,2.68,7.85,14.04,31150000000.0,31150000000.0,20.45,3.64,16.58,26.31,16.58,1860000000.0,26.31,742040000.0,5.51,9.00,13.20,400510000.0,2.92,6460000000.0,968.18,71.84,N/A,0.25,0.45,100.60,2130000.0,2.43,1.91,1560000.0,N/A
44,N/A,N/A,avp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.30,N/A,18.65,5.70,4.63,N/A,14.16,3350000000.0,3350000000.0,14.00,1.07,0.55,7.56,0.55,3720000000.0,7.56,784100000.0,2.61,N/A,N/A,689300000.0,1.58,2210000000.0,1.07,2.46,112100000.0,2.12,0.11,105.50,56520000.0,5.14,13.02,53790000.0,N/A
45,N/A,N/A,avy,N/A,N/A,N/A,N/A,N/A,109.65,23.69,1.04,6.49,4.60,8.96,7.87,27.26,65.57,7130000000.0,7130000000.0,16.71,1.85,1.20,10.40,1.20,1650000000.0,10.40,274400000.0,2.95,19.30,9.30,176400000.0,1.97,1060000000.0,1.22,10.73,473700000.0,1.04,0.47,91.30,5240000.0,5.71,5.81,5300000.0,N/A
46,N/A,N/A,axp,N/A,N/A,N/A,N/A,N/A,257.74,11.77,1.84,2.75,16.75,28.19,3.22,24.98,30.86,87560000000.0,87560000000.0,10.58,1.35,2.84,N/A,2.84,N/A,N/A,5060000000.0,5.05,37.90,7.90,23040000000.0,23.90,53280000000.0,1.82,21.40,10970000000.0,1.19,0.19,83.00,17080000.0,1.52,1.98,16320000.0,N/A
47,N/A,N/A,azo,N/A,N/A,N/A,N/A,N/A,N/A,21.47,2.31,N/A,11.44,19.22,15.55,N/A,331.06,28650000000.0,28650000000.0,17.42,1.57,2.78,12.69,2.78,5330000000.0,12.69,1180000000.0,37.12,8.30,5.60,175930000.0,5.82,4750000000.0,0.85,58.74,1470000000.0,0.67,0.80,97.80,8.03,8.03,9.06,2390000.0,N/A
48,N/A,N/A,ba,N/A,N/A,N/A,N/A,N/A,155.76,16.75,0.85,12.94,5.39,7.46,4.78,68.16,139.92,80520000000.0,80520000000.0,13.22,1.40,0.84,8.94,0.84,14030000000.0,8.94,5170000000.0,7.44,30.00,3.70,12010000000.0,18.13,9960000000.0,1.35,9.50,9360000000.0,1.36,0.06,74.60,20670000.0,3.19,3.33,19740000.0,N/A
49,N/A,N/A,bac,N/A,N/A,N/A,N/A,N/A,N/A,10.52,1.76,0.59,20.02,30.48,0.75,6.36,7.58,146070000000.0,146070000000.0,8.46,0.98,1.84,N/A,1.84,N/A,N/A,14400000000.0,1.31,11.40,4.40,480960000000.0,45.73,477600000000.0,N/A,22.54,27730000000.0,1.26,0.06,63.20,69780000.0,0.55,0.67,73400000.0,N/A
50,N/A,N/A,bax,N/A,N/A,N/A,N/A,N/A,73.55,22.91,2.19,2.46,9.71,7.37,1.95,4.62,18.29,21340000000.0,21340000000.0,22.74,2.37,2.14,14.28,2.14,4150000000.0000005,14.28,393000000.0,1.77,78.50,6.70,7360000000.0,13.44,6520000000.0,2.05,16.15,1650000000.0,0.79,10.11,84.90,11390000.0,2.01,2.10,10890000.0,N/A
51,N/A,N/A,bbby,N/A,N/A,N/A,N/A,N/A,58.46,10.03,0.67,3.13,7.15,12.05,12.77,29.85,71.61,9140000000.0,9140000000.0,9.88,2.39,0.76,5.37,0.76,4620000000.0,5.37,859010000.0,5.06,21.10,0.30,490740000.0,3.06,1500000000.0,1.91,16.00,1170000000.0,1.07,3.33,99.60,16219999.999999998,5.66,9.79,17450000.0,N/A
52,N/A,N/A,bbry,N/A,N/A,N/A,N/A,N/A,38.13,178.78,1.78,1.21,2.46,8.28,1.97,1.71,4.47,3250000000.0,3250000000.0,N/A,0.24,1.38,7.13,1.38,1600000000.0,7.13,58000000.0,0.05,N/A,30.90,2300000000.0,4.37,1320000000.0,2.74,6.57,467000000.0,0.95,5.87,56.60,80020000.0,9.23,4.92,82790000.0,N/A
53,N/A,N/A,bbt,N/A,N/A,N/A,N/A,N/A,N/A,13.46,2.86,1.06,22.69,38.26,1.07,8.21,12.28,50360000000.0,50360000000.0,10.44,1.91,5.48,N/A,5.48,N/A,N/A,1940000000.0,2.56,8.30,5.10,4680000000.0,6.00,28150000000.0,N/A,31.66,2920000000.0,0.99,0.33,60.00,18800000.0,3.28,2.62,16990000.0,N/A
54,N/A,N/A,bcr,N/A,N/A,N/A,N/A,N/A,96.61,110.21,4.25,9.90,4.00,25.16,10.62,8.31,45.74,14840000000.0,14840000000.0,17.67,2.00,4.38,14.34,4.38,2109999999.9999998,14.34,133500000.0,1.77,1.60,2.70,950700000.0,12.89,1410000000.0,1.66,19.75,798100000.0,0.61,0.51,90.60,1100000.0,1.85,1.48,1130000.0,N/A
55,N/A,N/A,bdx,N/A,N/A,N/A,N/A,N/A,177.34,46.23,2.80,4.36,6.13,16.89,5.31,11.20,54.12,42930000000.0,42930000000.0,15.97,1.30,3.83,14.96,3.83,4700000000.0,14.96,688000000.0,3.24,3.00,45.60,1610000000.0,7.58,12810000000.0,1.25,34.10,1910000000.0,1.11,0.28,85.60,4950000.0,3.72,2.35,5290000.0,N/A
56,N/A,N/A,ben,N/A,N/A,N/A,N/A,N/A,17.00,12.29,2.85,1.86,25.08,38.42,11.31,16.20,12.55,15160000000.0,15160000000.0,13.32,2.64,1.98,5.08,1.98,7910000000.0,5.08,1910000000.0,3.12,20.90,14.80,9690000000.0,16.35,2120000000.0,9.61,19.79,1970000000.0,1.61,37.70,50.10,19560000.0,4.42,5.28,22360000.0,N/A
57,N/A,N/A,bf-b,N/A,N/A,N/A,N/A,N/A,127.20,30.06,6.33,14.02,21.98,33.81,15.32,39.24,14.92,21300000000.0,21300000000.0,N/A,N/A,6.86,19.33,6.86,2180000000.0,19.33,682000000.0,3.26,3.80,2.60,195000000.0,0.97,1780000000.0,2.08,6.96,699000000.0,0.00,N/A,N/A,3910000.0,8.20,3.60,3870000.0,N/A
58,N/A,N/A,bhi,N/A,N/A,N/A,N/A,N/A,24.67,N/A,1.21,1.17,12.50,0.77,0.29,11.24,35.94,21820000000.0,21820000000.0,123.76,1.86,1.39,13.46,1.39,1240000000.0,13.46,1970000000.0,4.49,N/A,48.80,2320000000.0,5.29,4040000000.0,3.34,37.13,1800000000.0,0.86,5.53,85.10,6390000.0,2.27,1.47,8170000.0,N/A
59,N/A,N/A,big,N/A,N/A,N/A,N/A,N/A,52.55,16.62,0.44,3.52,2.75,4.66,7.93,21.07,101.04,2530000000.0,2530000000.0,12.10,0.81,0.49,7.21,0.49,2040000000.0,7.21,142300000.0,2.75,N/A,0.80,61540000.0,1.24,334900000.0,1.74,12.98,308500000.0,0.50,1.30,130.00,10.31,10.31,16.51,8820000.0,N/A
60,N/A,N/A,biib,N/A,N/A,N/A,N/A,N/A,69.61,16.93,5.12,5.88,32.95,46.59,18.54,35.60,46.66,59900000000.0,59900000000.0,12.91,1.49,5.57,10.67,5.57,9520000000.0,10.67,3550000000.0,15.34,5.90,7.50,3430000000.0,15.68,6530000000.0,2.60,42.88,3720000000.0,0.53,0.10,91.20,2760000.0,1.28,1.17,2850000.0,N/A
61,N/A,N/A,bk,N/A,N/A,N/A,N/A,N/A,N/A,13.93,2.64,1.13,21.01,30.47,0.83,8.30,13.61,64670000000.0,64670000000.0,11.14,1.04,4.30,N/A,4.30,14950000000.0,N/A,3010000000.0,2.71,197.40,3.40,168570000000.0,156.69,63290000000.0,N/A,32.70,4130000000.0,1.40,3.58,83.80,22550000.0,2.99,2.08,13440000.0,N/A
62,N/A,N/A,bks,N/A,N/A,N/A,N/A,N/A,32.97,N/A,0.15,1.57,0.36,1.72,2.06,0.53,90.20,1130000000.0,1130000000.0,19.15,3.66,0.19,3.89,0.19,1870000000.0,3.89,20050000.0,0.69,N/A,4.50,13370000.0,0.18,192000000.0,1.14,7.70,123010000.0,2.70,22.06,61.90,5500000.0,3.99,8.62,6040000.0,N/A
63,N/A,N/A,blk,N/A,N/A,N/A,N/A,N/A,124.87,17.16,4.72,1.89,29.34,40.91,1.25,11.85,68.52,54220000000.0,54220000000.0,15.29,1.72,4.76,11.04,4.76,11200000000.0,11.04,3340000000.0,19.79,5.90,2.80,38290000000.0,231.21,36270000000.0,1.19,172.12,3000000000.0,1.76,2.67,88.30,2240000.0,2.07,1.78,2360000.0,N/A
64,N/A,N/A,bll,N/A,N/A,N/A,N/A,N/A,406.84,34.68,1.19,7.64,3.51,10.00,5.76,24.22,58.25,14690000000.0,14690000000.0,16.79,3.07,1.84,13.53,1.84,1540000000.0,13.53,280900000.0,1.99,27.20,11.20,224000000.0,1.58,5130000000.0,1.02,8.79,1010000000.0,1.22,1.25,34.20,10440000.0,6.16,7.65,10200000.0,N/A
65,N/A,N/A,bms,N/A,N/A,N/A,N/A,N/A,115.07,21.28,1.20,4.05,5.88,10.35,7.42,18.32,42.10,6250000000.0,6250000000.0,17.22,2.35,1.54,10.79,1.54,873400000.0,10.79,241900000.0,2.44,3.90,6.60,59200000.0,0.63,1390000000.0,1.90,12.70,552400000.0,1.00,1.05,75.80,5040000.0,5.10,5.23,4820000.0,N/A
